QualityID,MaterialID,InspectionDate,InspectionResult,ValidationDate
3b22f9a7-aa2f-4bbe-96e7-50a4f5f5c221,M346,2024-05-18,Fail,2024-10-16
52aa6c25-b04a-4153-85b3-501df6f9fc09,M892,2024-08-09,Pass,2025-02-04
2cf571ef-a872-4a84-9bc7-abf9e2150a7f,M850,2024-09-08,Pass,2024-12-23
fc377327-8f07-45fd-a1ea-f0b975e358e8,M724,2024-12-22,Pass,
8862bb93-db37-47dd-9034-bcf68da9af51,M887,2024-10-14,Fail,2024-06-21
028a0103-b296-4727-b31b-209f56ba537c,M535,2024-08-09,Fail,2024-08-20
2091d336-19e1-4288-827b-504d9e5ebd71,M730,2024-11-22,Pass,2024-09-09
7577a87c-17f0-40e0-b316-4f9a68609008,M798,2024-03-30,Pass,2024-12-10
01fcf438-071b-4899-a506-3a9c73cb9766,M774,2024-03-24,Pass,
0c5b2817-5ebd-4da4-86f8-88f1f7f7906f,M100,2024-06-29,Pass,2025-01-12
c4169d08-e3cf-4bac-8dbf-23375d5a88e7,M170,2024-12-15,Fail,2024-12-12
c89992ea-83a1-470c-8092-98fc3b25ed99,M191,2024-05-20,Fail,2024-09-21
e742020d-8346-4232-992d-7440f79a2b77,M404,2025-03-06,Fail,2024-06-03
8b4e2536-3c4e-4cea-952a-3ef46e8883d4,M937,2024-04-02,Fail,2024-07-22
4060fb42-40ed-4187-b1b6-fdf6dfd1e230,M645,2024-05-10,Pass,2025-02-22
56a1ddbc-9553-40c1-830f-5e40a5d21a46,M102,2024-09-01,Fail,2024-11-08
e47fbb47-2650-46b1-9c14-1e420d0ade74,M647,2024-10-04,Pass,2025-02-13
c4d381e4-6d9f-4d5e-9491-15f3857d1261,M169,2024-04-22,Pass,2024-08-10
83b31632-5da1-4df8-b030-bf5ae834ea0c,M269,2024-11-15,Pass,2025-01-20
8984926b-5262-4ff9-a98a-08b92af0eef1,M290,2024-10-26,Fail,2024-09-28
c27001cd-8076-4167-a8e8-eda1617ae0e9,M443,2025-03-05,Fail,2025-03-12
aa6e402c-cab1-4543-97b3-a5af6949998b,M754,2024-10-05,Fail,
c17876c2-7c1e-4caa-9e64-b0edc468a8ed,M573,2024-09-29,Fail,
744a918a-d986-417b-a26e-12752019d207,M819,2024-05-02,Pass,
bd67d379-0839-4130-9d51-e284ec59882c,M867,2024-10-22,Fail,
6f1e3dda-609e-443d-a8c6-8846d53fda3e,M190,2024-06-17,Pass,2025-02-24
d01b46eb-6300-46db-9ac3-41149bf8852c,M653,2024-12-17,Pass,
d31e3c96-cb5c-4d5c-9756-81ac837e8e79,M806,2024-08-25,Fail,
a3443c72-1012-478a-bc4c-542e144de608,M194,2024-09-03,Pass,2024-04-15
c075e868-3a11-4337-bca8-f5099d9f9aa7,M624,2024-06-26,Fail,2024-04-18
209ae197-737f-49de-aa83-5ca39ed529fd,M191,2024-09-16,Pass,2024-04-11
b58a2316-9d01-4672-ac03-ee9e94a5cf08,M870,2024-04-28,Fail,
678c7217-ad12-4674-9a12-ef2274027699,M917,2025-03-16,Pass,2024-10-11
